,date,tweet,location
121,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Mumbai
122,2020-05-09,RT @Dr_Pam_Jarvis: Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? Seems ex…,sheffield 
123,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Bloemfontein 
124,2020-05-09,RT @Dr_Pam_Jarvis: Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? Seems ex…,"North West, England"
125,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
126,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Port Elizabeth, South Africa"
127,2020-05-09,"RT @thefasttalks: Italy claims first #COVID19vaccine 
The vaccine has been tested in the #Spallanzani Hospital in Rome. It is said to be on…","Lagos, Nigeria"
128,2020-05-09,What is a vaccine and how soon will we get a #vaccine for the #Coronavirus #pandemic? Read our blog to know more: … https://t.co/ijJLozed8P,"California, USA"
129,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
130,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
131,2020-05-09,RT @ketan72: Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct trials for…,India
132,2020-05-09,RT @YoelMinkoff: #Moderna cleared for Phase 2 study of #Covid_19 vaccine https://t.co/InVoti6gfb #COVID19 #COVIDVACCINE #COVID19vaccine #co…,
133,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Pretoria/P.E 
134,2020-05-09,RT @SaiLifeSciences: We are delighted to join the @covid_moonshot project that aims to deliver an antiviral drug candidate effective agains…,
135,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
136,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Africa the Mama Land🙌🌍🖤❤️💚
137,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Republic of South Africa 
138,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",In Studio 
